type,price,beds,bath,propertysqft,state,administrative_area_level_2,locality,sublocality,street_name,latitude,longitude,dist_to_center_km,geo_cluster,density_listings_per_km2
Condo for sale,1175000,2,2.0,1072.0,"New York, NY 10038",New York,New York County,New York,Manhattan,40.7081041,-74.0074731,0.5367204051595886,12,13.86941614403381
Townhouse for sale,1049000,3,1.0,1224.0,"Forest Hills, NY 11375",United States,New York,Queens County,Queens,40.7207542,-73.8537801,12.859479144489788,6,23.47837153564492
House for sale,999000,4,1.0,2184.207862,"Brooklyn, NY 11207",United States,New York,Kings County,Brooklyn,40.6830674,-73.8945769,9.958182794157043,1,2.133115892203155
Condo for sale,450000,3,1.0,494.0,"Brooklyn, NY 11220",New York,Kings County,Brooklyn,Sunset Park,40.646643,-74.011966,7.373515799150283,19,4.26367389687987
Multi-family home for sale,1390000,6,5.0,2245.0,"Jamaica, NY 11429",United States,New York,Queens County,Queens,40.7111134,-73.7361784,22.742859956652573,4,2.134076790441134
House for sale,1350000,3,2.3738608579684373,2184.207862,"Nyc, NY 10029",United States,New York,New York County,New York,40.7970316,-73.9395297,10.912010966736547,14,7.478262013897795
House for sale,715000,4,2.0,1866.0,"Bronx, NY 10473",United States,New York,Bronx County,The Bronx,40.8151628,-73.8462531,17.622747902840754,3,3.205935424556865
Co-op for sale,319000,3,1.0,2184.207862,"Manhattan, NY 10037",New York,New York County,New York,Manhattan,40.8153009,-73.9380717,12.752798392282312,14,7.480515990623168
Multi-family home for sale,599999,6,2.0,3490.0,"Brooklyn, NY 11208",United States,New York,Kings County,Brooklyn,40.6649303,-73.8670719,12.86638703309529,1,6.397428295934623
Co-op for sale,800000,1,1.0,2184.207862,"Manhattan, NY 10017",New York,New York County,New York,Manhattan,40.7486602,-73.9720523,4.907384909419758,0,34.16062624602838
Condo for sale,1250000,3,2.0,1281.0,"Brooklyn, NY 11215",New York,New York County,New York,Manhattan,40.7308035,-73.9808981,2.9124900182517486,12,23.481900151712175
Co-op for sale,268000,1,1.0,850.0,"Flushing, NY 11354",New York,Queens County,Queens,Flushing,40.7741978,-73.8256676,16.655738215211553,7,6.408008833484208
Condo for sale,460000,3,1.0,426.0,"New York, NY 10017",New York,New York County,New York,Manhattan,40.7530103,-73.9712947,5.342536031537104,0,5.338400616791743
Pending,700000,2,1.0,2184.207862,"New York, NY 10009",United States,New York,New York County,New York,40.7235651,-73.9781799,2.63250806402535,12,4.268794824668143
Condo for sale,879000,2,2.0,1278.0,"New York, NY 10035",New York,New York County,New York,Manhattan,40.7962956,-73.9334096,11.116846639405061,14,7.478262013897795
Co-op for sale,569000,2,2.0,2184.207862,"Rego Park, NY 11374",New York,Queens County,Queens,Rego Park,40.7337965,-73.8620837,12.350692069124834,6,14.943027369290393
Condo for sale,870000,1,1.0,620.0,"New York, NY 10019",New York,New York County,New York,Manhattan,40.7681878,-73.9845086,6.419490823791565,0,14.949770603057138
Co-op for sale,564900,1,1.0,769.0,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,Downtown Brooklyn,40.697478,-73.988335,2.2627407507904835,12,8.533744121873958
House for sale,550000,3,2.0,1410.0,"Staten Island, NY 10304",United States,New York,Richmond County,Staten Island,40.5882303,-74.0975793,15.860491388480389,2,5.324808376579123
Pending,595000,1,1.0,2184.207862,"New York, NY 10014",New York,New York County,New York,Manhattan,40.7271763,-74.0030659,1.617585273215125,12,10.671987061656782
